lat,lon
-5.957946097792689,105.88365117335059
-5.935313293787283,105.92369905350021
-5.959905388617564,105.91828523334928
-5.887458374754555,105.8045313130527
-5.90026518235155,105.79907848286445
-5.93626991178694,105.96384692156384
-5.9527581956543205,105.94610408458303
-5.972869696932712,105.93555828721395
-5.913658636283375,105.87517166966677
-5.9708751471428805,105.94881572628196
-5.982769401197448,105.93321072221754
-5.89418129529432,105.79184157104496
-5.91223616656054,105.83228412644485
-5.929638610832493,105.964836013582
-5.903237819159382,105.88251575144206
-5.8974906751076634,105.86846590275871
-5.936883983291149,105.95574710061788
-5.985156657635287,105.93604184464176
-5.896357683489743,105.85533003529741
-5.908947100258853,105.86165429987811
-5.979102097114754,105.92316779391084
-5.930341694956139,105.96077467949316
-5.967556897960373,105.94116623584792
-5.978893020728784,105.95547400957574
-5.903936961203868,105.8283936495563
-5.971429244259396,105.8964667373226
-5.931176337535276,105.93963695160136
-5.905287219792263,105.88194305068062
-5.952683617692923,105.95526146860662
-5.899576481927853,105.80840919319611
-5.918087937551492,105.97407333895609
-5.988291540163454,105.92691790482252
-5.931029094962107,105.92968478782245
-5.938388262642578,105.96205656174081
-5.96275474927738,105.89784580845019
-5.907419803453643,105.84025544280735
-5.916843097408141,105.85034510346051
-5.9130754581827905,105.95076471711931
-5.974509159253918,105.91548540803473
-5.8875848085453875,105.83558449715007
-5.915618284611515,105.9601109541449
-5.9172750680916915,105.97541299324287
-5.906321454630449,105.85066014802766
-5.961376979760123,105.93020756386535
-5.906611771311978,105.88570642173724
-5.908957763814298,105.88066493318364
-5.911801912761934,105.93225395567944
-5.951035957713335,105.95964475731634
-5.916656202644145,105.82733773399374
-5.918572485126429,105.86138159080055
